id,name,ride,goff,lat,lon,demand,cityhall,samsan,taehwagang,ulsanuniv,hhi,uuh,ktx,eonyang,min_to_any,mean_to_centers,n_within
E0939,반천마을,25,3,35.5533488,129.1786778,28,71.0,86.0,89.0,56.0,,,24.0,35.0,24.0,60.166666666666664,2
E0940,효성앞,1,2,35.51485646,129.3593668,3,35.0,37.0,37.0,51.0,51.0,48.0,100.0,104.0,35.0,57.875,3
E0941,장촌,13,6,35.54904624,129.1517227,19,76.0,90.0,95.0,63.0,,,12.0,23.0,12.0,59.833333333333336,2
E0942,(주)SLT,3,2,35.56458241,129.1456345,5,105.0,119.0,,91.0,,,44.0,55.0,44.0,82.8,1
E0943,반천현대아파트,205,26,35.55892478,129.1899969,231,65.0,81.0,84.0,50.0,114.0,,32.0,43.0,32.0,67.0,2
E0944,반송교차로,9,3,35.5510258,129.1817791,12,69.0,83.0,87.0,55.0,119.0,,26.0,38.0,26.0,68.14285714285714,2
E0945,반천현대아파트입구,11,9,35.55892478,129.1899969,20,64.0,80.0,83.0,52.0,115.0,,31.0,42.0,31.0,66.71428571428571,2
E0946,미연,14,3,35.55945377,129.1842821,17,70.0,86.0,89.0,56.0,,,29.0,40.0,29.0,61.666666666666664,2
E0947,반천초등학교,41,9,35.55636198,129.181323,50,72.0,88.0,92.0,58.0,,,27.0,37.0,27.0,62.333333333333336,2
E0948,반천,17,2,35.55425553,129.1784833,19,70.0,85.0,89.0,56.0,119.0,,24.0,35.0,24.0,68.28571428571429,2
E0949,반곡초등학교,10,0,35.60275323,129.1399626,10,,,,107.0,,,62.0,52.0,52.0,73.66666666666667,0
E0950,옥동,8,0,35.60805581,129.1449458,8,,,,119.0,,,76.0,64.0,64.0,86.33333333333333,0
E0951,고하,5,0,35.6049992,129.1418893,5,,,,111.0,,,67.0,56.0,56.0,78.0,0
E0952,다개입구,3,1,35.61337767,129.1229128,4,,,,115.0,,,71.0,57.0,57.0,81.0,0
E0953,고속도휴게소,2,0,35.59712384,129.1360452,2,,,,113.0,,,67.0,57.0,57.0,79.0,0
E0954,개말,1,0,35.60293181,129.1354473,1,,,,106.0,,,59.0,48.0,48.0,71.0,0
E0955,울주도서관,35,10,35.55805256,129.1372683,45,75.0,86.0,93.0,57.0,,,9.0,11.0,9.0,55.166666666666664,2
E0956,어음리E편한세상,316,108,35.56014234,129.1340863,424,74.0,83.0,90.0,56.0,,,11.0,9.0,9.0,53.833333333333336,2
E0957,언양고등학교,74,9,35.56089661,129.1330336,83,77.0,87.0,95.0,61.0,,,12.0,8.0,8.0,56.666666666666664,2
E0958,언양자동차학원,3,15,35.55694479,129.1396003,18,75.0,85.0,92.0,59.0,,,9.0,12.0,9.0,55.333333333333336,2
E0959,언양임시시외터미널앞,92,34,35.56245772,129.1300562,126,78.0,90.0,97.0,63.0,,,15.0,7.0,7.0,58.333333333333336,2
E0960,양우내안애,304,27,35.58100977,129.122733,331,89.0,98.0,107.0,72.0,,,24.0,17.0,17.0,67.83333333333333,2
E0961,언양하나로마트,3,1,35.57357566,129.1228649,4,88.0,98.0,105.0,72.0,,,26.0,18.0,18.0,67.83333333333333,2
E0962,고중마을,1,0,35.60262836,129.1294533,1,,,,119.0,,,74.0,67.0,67.0,86.66666666666667,0
E0963,다개사입구,3,0,35.60579009,129.1262404,3,,,,,,,78.0,68.0,68.0,73.0,0
E0964,원평마을,2,0,35.6090689,129.1275173,2,,,,111.0,,,64.0,53.0,53.0,76.0,0
E0965,갈전,2,0,35.61743932,129.1247986,2,,,,118.0,,,73.0,63.0,63.0,84.66666666666667,0
E0966,다개,2,0,35.61337767,129.1229128,2,,,,,,,74.0,60.0,60.0,67.0,0
E0967,새말,1,0,35.61120188,129.1241595,1,,,,111.0,,,66.0,55.0,55.0,77.33333333333333,0
E0968,정거리,4,1,35.5936503,129.1343201,5,,,,105.0,,,60.0,52.0,52.0,72.33333333333333,0
E0969,관정마을,1,0,35.58851422,129.1311112,1,111.0,,,95.0,,,49.0,42.0,42.0,74.25,1
E0970,신화3길입구,2,0,35.58547721,129.1268056,2,95.0,108.0,114.0,81.0,,,36.0,29.0,29.0,77.16666666666667,2
E0971,신화(태기)입구,5,0,35.58852268,129.133718,5,115.0,,,99.0,,,55.0,46.0,46.0,78.75,0
E0972,외골길,4,0,35.58178551,129.1373413,4,108.0,118.0,,91.0,,,46.0,38.0,38.0,80.2,1
E0973,신흥마을회관,1,0,35.57507844,129.1338211,1,96.0,106.0,114.0,79.0,,,38.0,27.0,27.0,76.66666666666667,2
E0974,언양우체국,236,34,35.56551214,129.1249435,270,83.0,92.0,100.0,66.0,,,20.0,7.0,7.0,61.333333333333336,2
E0975,언양읍행정복지센터,43,20,35.56940857,129.125062,63,80.0,90.0,98.0,63.0,,,19.0,11.0,11.0,60.166666666666664,2
E0976,경남아너스빌,183,18,35.57126825,129.1253753,201,80.0,93.0,99.0,64.0,,,19.0,11.0,11.0,61.0,2
E0977,동부주공,44,2,35.57182557,129.1223202,46,84.0,94.0,101.0,68.0,,,23.0,14.0,14.0,64.0,2
E0978,언양중학교,4,12,35.56994407,129.1277122,16,81.0,92.0,100.0,65.0,,,22.0,13.0,13.0,62.166666666666664,2
E0979,시장입구,109,90,35.56464869,129.1257387,199,78.0,87.0,95.0,61.0,,,16.0,4.0,4.0,56.833333333333336,2
E0980,언양읍성북문,86,17,35.5700783,129.1223768,103,82.0,93.0,100.0,66.0,,,22.0,15.0,15.0,63.0,2
E0981,언양복지회관,58,2,35.56984978,129.1265815,60,78.0,90.0,98.0,62.0,,,20.0,12.0,12.0,60.0,2
E0982,금성종합상사,7,3,35.57048537,129.1204409,10,84.0,96.0,103.0,69.0,,,25.0,15.0,15.0,65.33333333333333,2
E0983,농협중앙회,89,5,35.56512202,129.1239956,94,82.0,93.0,100.0,67.0,,,19.0,7.0,7.0,61.333333333333336,2
E0984,삼성아파트,169,35,35.56693951,129.1118607,204,88.0,98.0,105.0,69.0,,,25.0,14.0,14.0,66.5,2
E0985,경동청구,90,8,35.56952832,129.1083787,98,95.0,105.0,112.0,78.0,,,34.0,22.0,22.0,74.33333333333333,2
E0986,언양맨션,137,30,35.56730235,129.1173537,167,84.0,94.0,101.0,67.0,,,25.0,13.0,13.0,64.0,2
E0987,언양성당,121,11,35.56857178,129.1148976,132,86.0,96.0,104.0,69.0,,,25.0,13.0,13.0,65.5,2
E0988,언양전화국,50,20,35.56620873,129.1189952,70,84.0,94.0,101.0,67.0,,,21.0,11.0,11.0,63.0,2
E0989,언삼교사거리,0,1,35.56471654,129.1160082,1,86.0,95.0,103.0,68.0,,,27.0,16.0,16.0,65.83333333333333,2
E0990,울산축산회관,121,19,35.56611414,129.1176248,140,85.0,94.0,101.0,68.0,,,24.0,14.0,14.0,64.33333333333333,2
E0991,남천교사거리,2,2,35.56398861,129.1212941,4,83.0,94.0,101.0,67.0,,,21.0,10.0,10.0,62.666666666666664,2
E0992,혜원어린이집,1,0,35.56641273,129.1100627,1,94.0,103.0,111.0,76.0,,,32.0,21.0,21.0,72.83333333333333,2
E0993,영화루사거리,5,7,35.56506478,129.1222039,12,84.0,93.0,101.0,67.0,,,21.0,10.0,10.0,62.666666666666664,2
E0994,구.언양버스터미널,1501,412,35.56314239,129.1273669,1913,77.0,86.0,93.0,60.0,,,15.0,0.0,0.0,55.166666666666664,2
E0995,언양알프스시장,19,15,35.56357606,129.1247482,34,80.0,91.0,98.0,64.0,,,18.0,6.0,6.0,59.5,2
E0996,남천교,155,62,35.56312191,129.124058,217,79.0,90.0,97.0,63.0,,,18.0,6.0,6.0,58.833333333333336,2
E0997,언양알프스시장입구,26,16,35.56357606,129.1247482,42,80.0,91.0,98.0,65.0,,,18.0,6.0,6.0,59.666666666666664,2
E0998,울산과학기술원,941,209,35.57375317,129.1917766,1150,62.0,77.0,80.0,49.0,112.0,,44.0,55.0,44.0,68.42857142857143,1
E0999,태기마을,6,0,35.59146901,129.1460133,6,,,,104.0,,,62.0,48.0,48.0,71.33333333333333,0
E1000,무동,5,3,35.56448562,129.1940838,8,62.0,76.0,80.0,47.0,110.0,118.0,36.0,47.0,36.0,72.0,1
E1001,온양하나로마트,220,24,35.40891686,129.2914123,244,76.0,86.0,92.0,96.0,,,,,76.0,87.5,0
E1002,울산온천,44,6,35.40806359,129.2948016,50,77.0,88.0,95.0,97.0,,,,,77.0,89.25,0
E1003,남부노인복지관,141,18,35.40770575,129.2978661,159,77.0,87.0,93.0,98.0,,,,,77.0,88.75,0
E1004,진동마을,1,0,35.39759113,129.2867872,1,94.0,103.0,109.0,114.0,,,,,94.0,105.0,0
E1005,럭키아파트,191,44,35.4103474,129.2813495,235,73.0,83.0,88.0,93.0,,,,,73.0,84.25,0
E1006,온양농협,292,57,35.40988926,129.2841415,349,73.0,83.0,89.0,93.0,,,,,73.0,84.5,0
E1007,솔밭마을,337,47,35.40869501,129.2880858,384,74.0,85.0,91.0,95.0,,,,,74.0,86.25,0
E1008,동호아파트,251,58,35.41238693,129.2803563,309,70.0,82.0,88.0,90.0,119.0,,,,70.0,89.8,0
E1009,우주아파트,42,4,35.40563623,129.286366,46,80.0,90.0,96.0,100.0,,,,,80.0,91.5,0
E1010,대우아파트,48,4,35.40688098,129.2868475,52,79.0,90.0,96.0,100.0,,,,,79.0,91.25,0
E1011,온남초등학교,8,0,35.40654393,129.2882244,8,77.0,87.0,93.0,98.0,,,,,77.0,88.75,0
E1012,대안현대아파트앞,6,2,35.41223788,129.2850586,8,73.0,82.0,88.0,92.0,,,,,73.0,83.75,0
E1013,원동마을,180,45,35.45866581,129.290309,225,47.0,57.0,63.0,70.0,96.0,105.0,113.0,,47.0,78.71428571428571,0
E1014,LX하우시스,65,20,35.45414161,129.2914939,85,54.0,63.0,68.0,74.0,101.0,111.0,,,54.0,78.5,0
E1015,망양마을,108,20,35.44998621,129.2952364,128,58.0,69.0,75.0,80.0,108.0,118.0,,,58.0,84.66666666666667,0
E1016,망양역,102,64,35.45638937,129.2884741,166,53.0,63.0,69.0,74.0,101.0,111.0,,,53.0,78.5,0
E1017,온양이편한세상,35,0,35.45325291,129.2970444,35,65.0,75.0,82.0,87.0,115.0,,,,65.0,84.8,0
E1018,온양읍행정복지센터,42,39,35.41976694,129.2807765,81,67.0,77.0,83.0,90.0,115.0,,,,67.0,86.4,0
E1019,남창,210,38,35.4171571,129.280812,248,67.0,77.0,83.0,88.0,115.0,,,,67.0,86.0,0
E1020,온양우체국,193,74,35.41706921,129.2816836,267,67.0,78.0,83.0,88.0,118.0,,,,67.0,86.8,0
E1021,남창입구,46,8,35.4171571,129.280812,54,67.0,78.0,83.0,89.0,118.0,,,,67.0,87.0,0
E1022,남창역,6,1,35.41903926,129.2819603,7,71.0,81.0,86.0,90.0,117.0,,,,71.0,89.0,0
E1023,남창중학교,88,11,35.41951251,129.2879075,99,72.0,83.0,88.0,92.0,,,,,72.0,83.75,0
E1024,동상회관,35,1,35.41910996,129.2900368,36,72.0,81.0,88.0,91.0,,,,,72.0,83.0,0
E1025,하서,7,1,35.41467615,129.3049288,8,93.0,102.0,108.0,113.0,,,,,93.0,104.0,0
E1026,중서,7,1,35.41748864,129.2977052,8,84.0,94.0,101.0,105.0,,,,,84.0,96.0,0
E1027,벌방,1,0,35.43877797,129.2270537,1,116.0,,,111.0,,,,,111.0,113.5,0
E1028,중광마을입구,3,0,35.43948569,129.2320335,3,115.0,,,115.0,,,,,115.0,115.0,0
E1029,내광가림지,1,2,35.43130303,129.2127586,3,,,,,,,,,,,0
E1030,내광종점,3,0,35.42851456,129.2093237,3,,,,114.0,,,,,114.0,114.0,0
E1031,평광마을,1,0,35.43295631,129.2519881,1,112.0,,,,,,,,112.0,112.0,0
E1032,외광마을,3,0,35.43702622,129.241608,3,108.0,118.0,,,,,,,108.0,113.0,0
E1033,새각단,5,0,35.43672608,129.2445449,5,,,,,,,,,,,0
E1034,귀지마을,3,0,35.42373603,129.2665535,3,93.0,104.0,110.0,114.0,,,,,93.0,105.25,0
E1035,남창고등학교,238,54,35.41664323,129.2783373,292,70.0,81.0,87.0,90.0,119.0,,,,70.0,89.4,0
E1036,대안사거리,131,22,35.41431841,129.2826361,153,70.0,79.0,85.0,92.0,117.0,,,,70.0,88.6,0
E1037,대운산,5,0,35.39523081,129.2449265,5,,,,,,,,,,,0
E1038,상대마을,15,1,35.39834451,129.2509167,16,112.0,,,,,,,,112.0,112.0,0
E1039,대운산제2주차장,1,0,35.40074876,129.2553837,1,106.0,117.0,,,,,,,106.0,111.5,0
E1040,하대음달,4,0,35.40721251,129.2641607,4,99.0,109.0,115.0,119.0,,,,,99.0,110.5,0
E1041,위드아파트,2,0,35.41558994,129.274614,2,78.0,88.0,94.0,99.0,,,,,78.0,89.75,0
E1042,하대양달,3,0,35.40913504,129.2640928,3,96.0,108.0,114.0,117.0,,,,,96.0,108.75,0
E1043,온양체육공원,5,5,35.42701491,129.2806854,10,65.0,77.0,83.0,88.0,117.0,,,,65.0,86.0,0
E1044,외고산옹기마을,28,3,35.43399865,129.2807993,31,56.0,68.0,73.0,80.0,105.0,116.0,,,56.0,83.0,0
E1045,외고산마을입구,1,0,35.42903587,129.2750426,1,76.0,86.0,92.0,98.0,,,,,76.0,88.0,0
E1046,내고산,4,1,35.44325477,129.2644981,5,103.0,115.0,,,,,,,103.0,109.0,0
E1047,중고산마을입구,2,0,35.42988669,129.2733162,2,80.0,91.0,97.0,102.0,,,,,80.0,92.5,0
E1048,울산과학기술원입구,59,31,35.57375317,129.1917766,90,63.0,78.0,82.0,48.0,112.0,,42.0,54.0,42.0,68.42857142857143,1
E1049,사연,18,13,35.57235358,129.202854,31,64.0,78.0,83.0,49.0,115.0,,38.0,48.0,38.0,67.85714285714286,1
E1050,울산과학기술원정문,7,11,35.57375317,129.1917766,18,61.0,75.0,80.0,48.0,110.0,119.0,42.0,53.0,42.0,73.5,1
E1051,울산과학기술원후문,1,0,35.57375317,129.1917766,1,61.0,76.0,80.0,49.0,112.0,,41.0,54.0,41.0,67.57142857142857,1
E1052,범서읍행정복지센터,191,87,35.56871983,129.2309499,278,51.0,64.0,70.0,32.0,99.0,107.0,43.0,56.0,32.0,65.25,2
E1053,천상1교사거리,90,58,35.56878406,129.2322269,148,48.0,61.0,67.0,31.0,96.0,104.0,43.0,57.0,31.0,63.375,2
E1054,천상고등학교,115,4,35.5654009,129.2225636,119,49.0,62.0,68.0,30.0,98.0,108.0,49.0,62.0,30.0,65.75,1
E1055,천상청구그린타운,160,17,35.56379958,129.2218507,177,49.0,62.0,67.0,29.0,99.0,108.0,51.0,64.0,29.0,66.125,1
E1056,천상중학교,103,11,35.56214734,129.2219677,114,48.0,61.0,66.0,29.0,98.0,108.0,50.0,63.0,29.0,65.375,1
E1057,천상청구제네스아파트,288,34,35.5621381,129.2237729,322,47.0,60.0,65.0,27.0,96.0,105.0,51.0,65.0,27.0,64.5,1
E1058,한라아파트,524,103,35.56251583,129.2260804,627,46.0,60.0,65.0,26.0,97.0,106.0,52.0,64.0,26.0,64.5,1
E1059,천상,498,104,35.56320383,129.2293056,602,45.0,59.0,63.0,26.0,95.0,104.0,51.0,65.0,26.0,63.5,2
E1060,범서초등학교,197,49,35.56372674,129.2318139,246,44.0,56.0,61.0,24.0,93.0,103.0,52.0,64.0,24.0,62.125,2
E1061,구.점촌교입구,2,2,35.56725009,129.2335323,4,51.0,64.0,69.0,33.0,98.0,105.0,46.0,60.0,33.0,65.75,1
E1062,진목회관,30,14,35.5723694,129.2088667,44,61.0,75.0,79.0,44.0,107.0,116.0,36.0,49.0,36.0,70.875,2
E1063,구영리입구,41,22,35.57138943,129.2325385,63,49.0,63.0,67.0,30.0,96.0,105.0,45.0,58.0,30.0,64.125,2
E1064,선바위교,15,10,35.57667762,129.2336286,25,46.0,59.0,64.0,30.0,93.0,101.0,49.0,63.0,30.0,63.125,1
E1065,입암,8,2,35.57243172,129.225533,10,53.0,67.0,73.0,35.0,101.0,109.0,48.0,60.0,35.0,68.25,1
E1066,진목,8,5,35.57252434,129.2126533,13,54.0,68.0,72.0,40.0,104.0,113.0,39.0,51.0,39.0,67.625,2
E1067,선바위입구,1,1,35.58118537,129.2351153,2,52.0,65.0,71.0,38.0,100.0,109.0,55.0,71.0,38.0,70.125,1
E1068,선바위,0,1,35.58118537,129.2351153,1,52.0,66.0,71.0,37.0,101.0,110.0,56.0,70.0,37.0,70.375,1
E1069,울산상업고등학교,360,136,35.55862399,129.2544437,496,36.0,50.0,55.0,18.0,87.0,96.0,51.0,66.0,18.0,57.375,2
E1070,백천마을,7,5,35.55965219,129.2514968,12,37.0,50.0,56.0,20.0,87.0,98.0,53.0,68.0,20.0,58.625,2
E1071,구영교,47,33,35.56067888,129.248535,80,37.0,50.0,55.0,18.0,86.0,96.0,54.0,69.0,18.0,58.125,2
E1072,굴화마을,303,94,35.55772701,129.2577057,397,31.0,45.0,49.0,12.0,81.0,91.0,55.0,66.0,12.0,53.75,3
E1073,농협하나로마트,64,26,35.55714756,129.2547635,90,37.0,50.0,56.0,18.0,88.0,97.0,53.0,66.0,18.0,58.125,2
E1074,장검중학교,223,39,35.55411421,129.2529625,262,42.0,53.0,59.0,17.0,92.0,99.0,56.0,68.0,17.0,60.75,2
E1075,문수산더샵정문,72,13,35.55129231,129.2515384,85,42.0,53.0,60.0,16.0,92.0,101.0,60.0,71.0,16.0,61.875,2
E1076,우림음악학원,3,0,35.55442373,129.2615475,3,33.0,47.0,51.0,15.0,85.0,93.0,54.0,61.0,15.0,54.875,2
E1077,월드메르디앙,1,1,35.55625035,129.2602514,2,35.0,49.0,54.0,18.0,86.0,95.0,54.0,64.0,18.0,56.875,2
E1078,문수산더샵후문,53,6,35.55129231,129.2515384,59,44.0,55.0,62.0,19.0,94.0,103.0,61.0,73.0,19.0,63.875,2
E1079,수필아파트,29,6,35.54861173,129.2505395,35,45.0,54.0,61.0,20.0,94.0,102.0,65.0,77.0,20.0,64.75,2
E1080,신동아파밀리에아파트,0,1,35.54732413,129.2487279,1,47.0,58.0,65.0,23.0,97.0,105.0,70.0,79.0,23.0,68.0,1
E1081,동문굿모닝힐,36,3,35.54893788,129.2510089,39,46.0,56.0,63.0,19.0,94.0,104.0,66.0,76.0,19.0,65.5,1
E1082,강변그린빌,119,13,35.55707799,129.2633472,132,31.0,45.0,52.0,14.0,82.0,91.0,54.0,66.0,14.0,54.375,3
E1083,내사,28,5,35.58693848,129.2668378,33,42.0,56.0,62.0,34.0,92.0,103.0,70.0,84.0,34.0,67.875,2
E1084,들꽃학습원,24,7,35.59094474,129.2692573,31,43.0,57.0,64.0,37.0,94.0,105.0,72.0,85.0,37.0,69.625,2
E1085,서사시티프라디움,30,9,35.59314928,129.2746898,39,58.0,72.0,78.0,52.0,108.0,118.0,86.0,101.0,52.0,84.125,0
E1086,신척과,1,1,35.59846265,129.2751872,2,49.0,62.0,69.0,43.0,101.0,110.0,78.0,90.0,43.0,75.25,1
E1087,들꽃학습원앞,0,1,35.59094474,129.2692573,1,45.0,57.0,64.0,37.0,94.0,104.0,72.0,86.0,37.0,69.875,2
E1088,새밭등,1,3,35.60667005,129.2801233,4,54.0,68.0,75.0,48.0,106.0,114.0,87.0,100.0,48.0,81.5,0
E1089,구룡삼거리,11,0,35.60893538,129.2796016,11,52.0,66.0,73.0,47.0,105.0,114.0,84.0,94.0,47.0,79.375,0
E1090,연동,3,0,35.60400647,129.2804195,3,55.0,68.0,74.0,48.0,106.0,114.0,84.0,98.0,48.0,80.875,0
E1091,구룡회관,3,2,35.61216933,129.2798473,5,58.0,72.0,79.0,52.0,110.0,118.0,90.0,103.0,52.0,85.25,0
E1092,먹골,10,1,35.62579169,129.2864929,11,65.0,80.0,86.0,58.0,117.0,,94.0,109.0,58.0,87.0,0
E1093,왕걸,10,0,35.63015493,129.2881509,10,66.0,80.0,87.0,63.0,118.0,,97.0,110.0,63.0,88.71428571428571,0
E1094,성산주유소,9,1,35.63444333,129.2874769,10,67.0,82.0,88.0,61.0,118.0,,100.0,111.0,61.0,89.57142857142857,0
E1095,대신회관,9,1,35.64305729,129.2873138,10,70.0,84.0,91.0,65.0,,,104.0,116.0,65.0,88.33333333333333,0
E1096,천룡사,4,0,35.64648383,129.2867625,4,72.0,86.0,93.0,67.0,,,104.0,115.0,67.0,89.5,0
E1097,큰마을,8,0,35.63744661,129.2878824,8,71.0,85.0,92.0,66.0,,,101.0,112.0,66.0,87.83333333333333,0
E1098,방아다리마을,3,0,35.62067845,129.2860336,3,62.0,76.0,83.0,56.0,113.0,,92.0,104.0,56.0,83.71428571428571,0
E1099,굿모닝힐,129,14,35.57777825,129.2398033,143,46.0,58.0,64.0,28.0,93.0,101.0,48.0,63.0,28.0,62.625,1
E1100,우미린1차,568,133,35.57618314,129.2420728,701,46.0,58.0,64.0,28.0,92.0,99.0,47.0,62.0,28.0,62.0,1
E1101,우미린2차.푸르지오2차,1189,239,35.57314942,129.2419171,1428,40.0,53.0,59.0,24.0,88.0,97.0,46.0,61.0,24.0,58.5,2
E1102,범서파출소,314,67,35.57182112,129.2439295,381,43.0,56.0,61.0,23.0,90.0,98.0,46.0,61.0,23.0,59.75,2
E1103,주공1단지,451,96,35.56974077,129.2482122,547,39.0,51.0,57.0,22.0,88.0,97.0,53.0,66.0,22.0,59.125,2
E1104,대리마을,341,90,35.66341842,129.1719151,431,,,,,,,105.0,98.0,98.0,101.5,0
E1105,현대3차아파트,162,44,35.56985377,129.2412154,206,47.0,61.0,66.0,31.0,95.0,103.0,54.0,67.0,31.0,65.5,1
E1106,일신아파트,211,38,35.57041617,129.2391023,249,48.0,63.0,67.0,32.0,96.0,104.0,52.0,66.0,32.0,66.0,1
E1107,현대2차아파트,92,12,35.57072405,129.2359682,104,48.0,63.0,68.0,34.0,98.0,106.0,50.0,62.0,34.0,66.125,1
E1108,한신아파트,25,38,35.57257368,129.241127,63,43.0,56.0,61.0,27.0,89.0,96.0,45.0,60.0,27.0,59.625,3
E1109,울주군국민체육센터,60,21,35.57491102,129.2433691,81,46.0,61.0,65.0,29.0,94.0,102.0,51.0,65.0,29.0,64.125,1
E1110,구영회차지(기점),18,1,35.56378666,129.2513738,19,45.0,58.0,64.0,27.0,94.0,103.0,58.0,73.0,27.0,65.25,2
E1111,구영종점(종점),0,3,35.56067888,129.248535,3,37.0,51.0,57.0,18.0,89.0,97.0,52.0,66.0,18.0,58.375,2
E1112,지지마을허고개,10,1,35.62596682,129.2209376,11,78.0,93.0,100.0,66.0,,,85.0,100.0,66.0,87.0,0
E1113,지지,3,0,35.61799133,129.2266286,3,74.0,88.0,94.0,62.0,,,80.0,93.0,62.0,81.83333333333333,0
E1114,중리회관,1,0,35.60069868,129.2332979,1,72.0,87.0,93.0,59.0,,,79.0,93.0,59.0,80.5,0
E1115,범서중리,4,0,35.59771456,129.2334423,4,68.0,82.0,87.0,56.0,118.0,,75.0,89.0,56.0,82.14285714285714,0
E1116,망성교,9,1,35.58624282,129.231071,10,60.0,74.0,79.0,48.0,110.0,,65.0,79.0,48.0,73.57142857142857,0
E1117,망성,3,0,35.58985176,129.2311093,3,68.0,81.0,87.0,54.0,117.0,,71.0,86.0,54.0,80.57142857142857,0
E1118,욱실,4,1,35.58526006,129.2246321,5,72.0,85.0,91.0,58.0,,,76.0,89.0,58.0,78.5,0
E1119,농협척과지점,7,1,35.61315976,129.2764012,8,62.0,76.0,82.0,56.0,114.0,,91.0,104.0,56.0,83.57142857142857,0
E1120,척과초등학교,7,3,35.61467705,129.2746267,10,65.0,78.0,85.0,60.0,117.0,,94.0,106.0,60.0,86.42857142857143,0
E1121,반용회관,23,2,35.62113622,129.2685192,25,72.0,86.0,92.0,63.0,119.0,,99.0,112.0,63.0,91.85714285714286,0
E1122,상동,22,0,35.62399412,129.2659415,22,73.0,86.0,93.0,63.0,,,100.0,112.0,63.0,87.83333333333333,0
E1123,반용종점,7,0,35.63301566,129.2576139,7,82.0,94.0,99.0,73.0,,,108.0,,73.0,91.2,0
E1124,약불암,4,0,35.63058501,129.2582205,4,78.0,91.0,98.0,67.0,,,101.0,115.0,67.0,91.66666666666667,0
E1125,뒷농골,3,0,35.62658294,129.263811,3,80.0,91.0,98.0,69.0,,,105.0,116.0,69.0,93.16666666666667,0
E1126,붉은밭골,1,0,35.62255432,129.2673784,1,72.0,85.0,91.0,63.0,,,100.0,113.0,63.0,87.33333333333333,0
E1127,홍상골,17,1,35.61758236,129.2712928,18,68.0,81.0,88.0,59.0,119.0,,96.0,111.0,59.0,88.85714285714286,0
E1128,뉴시티에일린의뜰,95,14,35.48250737,129.3024261,109,41.0,51.0,58.0,63.0,89.0,99.0,105.0,113.0,41.0,77.375,1
E1129,뉴시티에일린의뜰2단지,93,12,35.48142003,129.3031117,105,45.0,57.0,64.0,67.0,97.0,105.0,112.0,,45.0,78.14285714285714,1
E1130,덕정마을,21,7,35.48560165,129.298647,28,37.0,48.0,54.0,58.0,86.0,95.0,104.0,111.0,37.0,74.125,1
E1131,뉴시티에일린의뜰1단지,21,4,35.48273099,129.3007415,25,45.0,56.0,62.0,64.0,95.0,104.0,110.0,117.0,45.0,81.625,1
E1132,청량초등학교,11,12,35.48758906,129.2981886,23,36.0,47.0,53.0,56.0,86.0,96.0,103.0,108.0,36.0,73.125,1
E1133,유림아파트,157,16,35.48773171,129.2961799,173,36.0,49.0,55.0,59.0,85.0,95.0,103.0,111.0,36.0,74.125,1
E1134,화정마을입구,2,2,35.65723971,129.3408329,4,71.0,72.0,66.0,85.0,92.0,102.0,,,66.0,81.33333333333333,0
E1135,동지마을,6,2,35.48723842,129.2835346,8,50.0,62.0,68.0,66.0,100.0,106.0,114.0,,50.0,80.85714285714286,0
E1136,화정마을회관,5,0,35.48933303,129.2810846,5,49.0,63.0,69.0,68.0,102.0,110.0,114.0,,49.0,82.14285714285714,0
E1137,중리입구,1,0,35.62394373,129.1367206,1,,,,,,,92.0,81.0,81.0,86.5,0
E1138,양동마을,17,10,35.46693965,129.2924745,27,47.0,57.0,63.0,67.0,97.0,105.0,113.0,,47.0,78.42857142857143,0
E1139,수질연구소,4,0,35.46496331,129.2857475,4,53.0,64.0,71.0,74.0,102.0,111.0,,,53.0,79.16666666666667,0
E1140,양천마을회관,2,0,35.46830989,129.2818302,2,60.0,70.0,77.0,79.0,108.0,117.0,,,60.0,85.16666666666667,0
E1141,청량파출소,20,21,35.49469075,129.3058977,41,26.0,39.0,45.0,48.0,77.0,85.0,93.0,99.0,26.0,64.0,3
E1142,덕하한양수자인,248,67,35.48900458,129.3017089,315,30.0,42.0,49.0,52.0,80.0,90.0,97.0,103.0,30.0,67.875,2
E1143,신일해피트리,141,32,35.48739545,129.3026528,173,34.0,45.0,52.0,54.0,85.0,92.0,101.0,107.0,34.0,71.25,2
E1144,나슬공원,43,5,35.48447264,129.3036748,48,38.0,49.0,56.0,58.0,89.0,96.0,103.0,111.0,38.0,75.0,1
E1145,덕하공영차고지,142,109,35.47550957,129.3104881,251,36.0,46.0,53.0,57.0,86.0,93.0,101.0,109.0,36.0,72.625,1
E1146,덕하삼거리,10,28,35.49475895,129.3063649,38,28.0,40.0,46.0,50.0,77.0,85.0,94.0,101.0,28.0,65.125,2
E1147,덕하시장앞,231,153,35.49188875,129.3071946,384,30.0,41.0,47.0,50.0,78.0,86.0,91.0,100.0,30.0,65.375,2
E1148,청량중학교,124,45,35.48772848,129.3077437,169,32.0,43.0,50.0,52.0,82.0,90.0,95.0,105.0,32.0,68.625,2
E1149,상남,102,34,35.48474284,129.3085044,136,32.0,44.0,51.0,54.0,82.0,89.0,98.0,104.0,32.0,69.25,2
E1150,청백교앞,7,12,35.48162034,129.3091153,19,33.0,44.0,52.0,55.0,83.0,92.0,98.0,106.0,33.0,70.375,2
