id,name,ride,goff,lat,lon,demand,cityhall,samsan,taehwagang,ulsanuniv,hhi,uuh,ktx,eonyang,min_to_any,mean_to_centers,n_within
E0817,합동공업사,124,26,35.56100659,129.3680976,150,35.0,31.0,22.0,50.0,41.0,52.0,91.0,101.0,22.0,52.875,4
E0818,영산공업사,101,34,35.56058927,129.3692803,135,36.0,32.0,23.0,52.0,39.0,51.0,91.0,104.0,23.0,53.5,4
E0819,현대출고교차로,61,16,35.56055327,129.3766801,77,40.0,36.0,27.0,55.0,38.0,47.0,95.0,107.0,27.0,55.625,4
E0820,효문교차로,31,16,35.5719866,129.3742718,47,55.0,51.0,43.0,71.0,61.0,69.0,106.0,,43.0,65.14285714285714,1
E0821,센트랄,4,0,35.5724573,129.3763514,4,60.0,57.0,48.0,76.0,66.0,74.0,110.0,,48.0,70.14285714285714,0
E0822,진우,1,0,35.57162821,129.3769865,1,61.0,58.0,49.0,78.0,63.0,72.0,115.0,,49.0,70.85714285714286,0
E0823,금강기계공업,1,0,35.56429202,129.3770629,1,48.0,44.0,35.0,63.0,47.0,57.0,101.0,114.0,35.0,63.625,2
E0824,시민의발서비스,4,4,35.56535475,129.3676762,8,43.0,40.0,31.0,57.0,49.0,60.0,96.0,108.0,31.0,60.5,3
E0825,현대자동차4공장,962,204,35.54024134,129.3863216,1166,43.0,35.0,25.0,61.0,28.0,39.0,100.0,111.0,25.0,55.25,5
E0826,현대자동차정문,962,187,35.54215549,129.3851753,1149,45.0,38.0,27.0,59.0,27.0,35.0,99.0,112.0,27.0,55.25,5
E0827,양정힐스테이트,620,101,35.5507663,129.3827088,721,40.0,35.0,26.0,57.0,33.0,42.0,94.0,105.0,26.0,54.0,5
E0828,현대자동차2공장,279,78,35.55275555,129.3814236,357,41.0,36.0,28.0,57.0,32.0,42.0,96.0,107.0,28.0,54.875,5
E0829,아랫율동,350,69,35.55674398,129.379384,419,38.0,33.0,24.0,54.0,40.0,49.0,92.0,104.0,24.0,54.25,4
E0830,현대출고사무소,1065,144,35.55967449,129.37559,1209,36.0,30.0,21.0,51.0,36.0,45.0,88.0,101.0,21.0,51.0,5
E0831,화봉중학교,604,246,35.58818359,129.3599711,850,42.0,40.0,33.0,57.0,58.0,68.0,94.0,107.0,33.0,62.375,3
E0832,울산공항,1604,1008,35.59276622,129.3575055,2612,40.0,39.0,32.0,56.0,59.0,69.0,91.0,104.0,32.0,61.25,3
E0833,화봉초등학교,480,102,35.59588085,129.3666554,582,48.0,47.0,39.0,64.0,65.0,74.0,98.0,111.0,39.0,68.25,1
E0834,한라비발디,46,20,35.59804123,129.3665005,66,50.0,49.0,43.0,66.0,66.0,76.0,102.0,115.0,43.0,70.875,1
E0835,송정LH1단지,26,39,35.59946927,129.366241,65,49.0,49.0,43.0,66.0,69.0,78.0,102.0,115.0,43.0,71.375,1
E0836,금강펜테리움,171,12,35.5980337,129.3662863,183,47.0,46.0,39.0,64.0,63.0,73.0,100.0,112.0,39.0,68.0,1
E0837,화봉휴먼시아2단지,100,6,35.59401247,129.367681,106,46.0,47.0,38.0,63.0,66.0,76.0,99.0,112.0,38.0,68.375,1
E0838,화봉쌍용예가,41,17,35.5937771,129.3675651,58,47.0,48.0,40.0,63.0,65.0,76.0,98.0,112.0,40.0,68.625,1
E0839,한라비발디정문,6,6,35.59804123,129.3665005,12,50.0,49.0,42.0,65.0,65.0,77.0,101.0,113.0,42.0,70.25,1
E0840,화봉고등학교,56,14,35.59383284,129.3699092,70,50.0,48.0,41.0,65.0,67.0,78.0,103.0,115.0,41.0,70.875,1
E0841,울산송정푸르지오,46,2,35.59972747,129.3705603,48,53.0,51.0,45.0,70.0,71.0,81.0,105.0,117.0,45.0,74.125,1
E0842,울산북부경찰서,6,5,35.59799614,129.3711176,11,54.0,50.0,43.0,69.0,70.0,80.0,105.0,117.0,43.0,73.5,1
E0843,울산공항정문,8,11,35.59276622,129.3575055,19,40.0,39.0,31.0,56.0,60.0,70.0,92.0,104.0,31.0,61.5,3
E0844,화봉휴먼시아3단지,91,10,35.59393844,129.3657166,101,49.0,48.0,41.0,66.0,67.0,77.0,101.0,113.0,41.0,70.25,1
E0845,송정동행정복지센터,15,6,35.59258541,129.3650248,21,50.0,47.0,40.0,66.0,64.0,75.0,102.0,116.0,40.0,70.0,1
E0846,송정초등학교,14,3,35.59076503,129.3651016,17,46.0,43.0,35.0,62.0,62.0,71.0,97.0,110.0,35.0,65.75,2
E0847,동아청구아파트앞,99,28,35.58866614,129.3660918,127,43.0,39.0,32.0,57.0,56.0,68.0,94.0,107.0,32.0,62.0,3
E0848,반도유보라정문,446,50,35.60355489,129.3677448,496,51.0,51.0,44.0,67.0,70.0,81.0,103.0,116.0,44.0,72.875,1
E0849,송정하우스디,98,33,35.60375144,129.3652256,131,51.0,52.0,44.0,66.0,65.0,76.0,103.0,117.0,44.0,71.75,1
E0850,호반베르디움,135,34,35.60377913,129.3608908,169,52.0,52.0,43.0,67.0,68.0,78.0,105.0,116.0,43.0,72.625,1
E0851,지당마을,23,11,35.60321622,129.3551751,34,51.0,49.0,42.0,67.0,69.0,79.0,102.0,116.0,42.0,71.875,1
E0852,유아교육진흥원,36,37,35.6049282,129.3538437,73,48.0,47.0,40.0,64.0,68.0,78.0,98.0,111.0,40.0,69.25,1
E0853,곡리마을,135,34,35.60566983,129.3658645,169,52.0,52.0,46.0,69.0,71.0,82.0,106.0,118.0,46.0,74.5,0
E0854,북부소방서,57,12,35.60674024,129.3688227,69,53.0,52.0,46.0,69.0,72.0,83.0,106.0,118.0,46.0,74.875,0
E0855,송정동,2,8,35.6013531,129.3551937,10,53.0,52.0,46.0,68.0,73.0,82.0,105.0,116.0,46.0,74.375,0
E0856,제일풍경채,37,9,35.60470412,129.3696122,46,51.0,51.0,45.0,68.0,71.0,82.0,103.0,116.0,45.0,73.375,1
E0857,제일풍경채정문,115,9,35.60470412,129.3696122,124,51.0,51.0,44.0,68.0,72.0,82.0,103.0,117.0,44.0,73.5,1
E0858,반도유보라,42,14,35.60355489,129.3677448,56,52.0,51.0,43.0,68.0,71.0,81.0,106.0,118.0,43.0,73.75,1
E0859,박상진의사송정역사공원,103,13,35.60256359,129.3608267,116,52.0,51.0,44.0,69.0,71.0,82.0,105.0,119.0,44.0,74.125,1
E0860,고헌중학교,9,5,35.59938293,129.3616499,14,52.0,51.0,46.0,68.0,71.0,82.0,106.0,118.0,46.0,74.25,0
E0861,한양수자인,75,16,35.60239221,129.3632187,91,52.0,52.0,45.0,68.0,70.0,80.0,105.0,117.0,45.0,73.625,1
E0862,고헌초등학교,3,8,35.60130421,129.3705162,11,52.0,52.0,45.0,69.0,71.0,81.0,104.0,118.0,45.0,74.0,1
E0863,금강펜테리움2차,17,3,35.60358015,129.3663351,20,51.0,50.0,44.0,67.0,69.0,79.0,104.0,116.0,44.0,72.5,1
E0864,성내,428,112,35.52578197,129.3991887,540,45.0,38.0,32.0,66.0,22.0,35.0,105.0,117.0,22.0,57.5,5
E0865,염포동,222,60,35.52830504,129.3963722,282,49.0,42.0,34.0,67.0,20.0,33.0,107.0,118.0,20.0,58.75,4
E0866,성원상떼빌,1145,171,35.53113042,129.3931225,1316,47.0,42.0,33.0,65.0,21.0,32.0,103.0,113.0,21.0,57.0,4
E0867,신전,889,153,35.53470865,129.3894475,1042,49.0,42.0,33.0,66.0,24.0,35.0,105.0,116.0,24.0,58.75,4
E0868,자동차선적장2,51,17,35.52446482,129.3912307,68,40.0,32.0,27.0,59.0,25.0,38.0,103.0,109.0,25.0,54.125,5
E0869,자동차선적장1,27,15,35.52358671,129.3914777,42,39.0,31.0,25.0,58.0,24.0,37.0,105.0,110.0,24.0,53.625,5
E0870,공단중기,40,6,35.43872595,129.3312767,46,62.0,72.0,79.0,81.0,110.0,,,,62.0,80.8,0
E0871,백골부대성역지,11,23,35.43467206,129.3243631,34,65.0,75.0,81.0,82.0,113.0,,,,65.0,83.2,0
