stop_name,lat,lon,boardings,alightings
혜인학교,35.574248,129.338246,132,16
선우시장,35.568907,129.342264,95,40
약사중학교,35.570334,129.340208,59,18
약사아이파크,35.573406,129.339254,70,5
중부경찰서,35.570246,129.350016,213,81
삼일아파트,35.56833,129.346206,124,26
남외중학교,35.567037,129.348771,71,10
푸르지오아파트,35.565104,129.348794,53,8
푸르지오2차아파트,35.565111,129.345874,59,4
종합운동장서문입구,35.563562,129.345271,17,2
병영시장,35.570359,129.346014,91,20
동천야외물놀이장,35.567413,129.350906,30,3
삼환나우빌,35.564821,129.352236,17,5
골드클래스,35.588135,129.344022,259,52
황방산생태야영장,35.587657,129.327533,3,0
시례동,35.596634,129.324212,2,0
약사동행정복지센터앞,35.57013,129.337399,129,17
황방산입구,35.584985,129.328001,4,0
중구청입구,35.567295,129.333045,63,28
약사고등학교,35.573973,129.335156,111,16
내약사마을,35.583966,129.330202,2,0
천지강변아파트,35.5507,129.344823,54,24
신울산종합시장,35.561565,129.338478,659,173
학성초등학교후문,35.559633,129.344496,290,122
평산초등학교,35.567538,129.342029,136,67
약사래미안아파트,35.565602,129.337964,255,54
반구1동행정복지센터앞,35.556322,129.341033,388,103
학남,35.55385,129.340716,371,85
웅진빌라,35.559692,129.346395,32,7
한라그랜드아파트,35.557522,129.348008,72,6
용연암,35.556538,129.345137,29,6
강변이편한세상,35.554435,129.347762,101,14
대산빌라,35.552794,129.347304,38,13
가온고,35.553285,129.34363,84,5
화합로입구,35.553518,129.341507,12,1
우신고등학교입구,35.538415,129.252298,1316,404
울산과학대학,35.539947,129.257087,3092,692
울산대학교,35.542851,129.259462,3321,874
울산대학교후문,35.542851,129.259462,1999,489
신복교차로입구,35.548782,129.263024,1019,355
남운프라자,35.551711,129.266718,902,343
좋은삼정병원,35.552476,129.268471,413,318
신복교차로,35.548782,129.263024,2738,1840
옥현주공아파트,35.545098,129.264414,299,201
성광여고,35.541685,129.264386,783,105
문수경기장입구,35.538069,129.260092,139,99
문수실버복지관,35.535593,129.250955,292,110
삼호지하차도,35.553961,129.267361,297,105
굴화주공아파트,35.555298,129.263975,1125,326
문수경기장,35.538069,129.260092,202,95
삼호중학교,35.549846,129.266066,108,92
삼호시영아파트,35.54937,129.272208,115,32
문수비스타동원앞,35.549266,129.273735,115,30
삼호철새마을,35.547389,129.278876,144,37
정광사,35.546345,129.28316,251,55
정광사입구,35.546345,129.28316,86,10
삼호철새공원,35.551024,129.277928,50,13
문수비스타동원입구,35.549266,129.273735,345,52
삼호,35.551931,129.274381,188,45
무거초등학교,35.552905,129.254214,40,12
신복환승센터,35.551106,129.262593,452,221
두레마을,35.553143,129.263613,4,2
청구맨션,35.552551,129.255261,100,9
신복현대아파트,35.551942,129.25443,261,19
벽산아파트,35.507272,129.42138,527,163
무거중고교,35.537553,129.252332,7,1
우신고등학교,35.538415,129.252298,45,4
문수중학교,35.539225,129.257365,95,7
