stop_id,stop_name,lat,lon,boardings,alightings,demand,min_cityhall,min_samsan,min_taehwagang,min_ulsanuniv,min_hhi,min_uuh,min_ktx,min_eonyang,min_to_any_hub,mean_to_hubs,hubs_within_45min
E0043,향교,35.56006288,129.315795,415,164,579,15.0,31.0,37.0,31.0,64.0,73.0,72.0,82.0,15.0,50.625,4
E0044,근로복지공단.산업인력공단,35.56477018,129.3137679,288,77,365,24.0,36.0,42.0,35.0,69.0,79.0,72.0,83.0,24.0,55.0,4
E0045,성안고가하부도로,35.56498695,129.3177934,129,53,182,22.0,35.0,41.0,33.0,67.0,76.0,73.0,84.0,22.0,53.875,4
E0046,궁도장,35.56817504,129.3153019,10,6,16,24.0,38.0,44.0,39.0,72.0,81.0,79.0,89.0,24.0,58.25,4
E0047,목살골목입구,35.55711824,129.3159684,174,53,227,19.0,30.0,37.0,34.0,63.0,74.0,74.0,84.0,19.0,51.875,4
E0048,향교삼거리,35.55922498,129.314946,4,0,4,18.0,31.0,38.0,33.0,64.0,73.0,74.0,85.0,18.0,52.0,4
E0049,우정동행정복지센터입구,35.55586922,129.3114468,257,112,369,15.0,30.0,35.0,29.0,62.0,74.0,69.0,77.0,15.0,48.875,4
E0050,우정선경아파트,35.55817021,129.3123538,717,201,918,17.0,32.0,38.0,31.0,66.0,76.0,71.0,81.0,17.0,51.5,4
E0051,한국석유공사,35.5639475,129.3090948,199,63,262,24.0,37.0,43.0,34.0,72.0,81.0,70.0,84.0,24.0,55.625,4
E0052,우정아이파크,35.56055984,129.3102036,138,33,171,22.0,36.0,42.0,36.0,69.0,79.0,74.0,85.0,22.0,55.375,4
E0053,성남동매일마트,35.55575354,129.3175984,5,10,15,18.0,27.0,34.0,33.0,60.0,71.0,75.0,85.0,18.0,50.375,4
E0054,동명그린빌,35.55886502,129.313374,0,4,4,19.0,34.0,40.0,34.0,66.0,76.0,74.0,86.0,19.0,53.625,4
E0055,우정공원앞,35.56061731,129.3114381,10,2,12,22.0,36.0,42.0,35.0,70.0,79.0,75.0,88.0,22.0,55.875,4
E0056,우정선경1차아파트,35.55894111,129.3110724,47,7,54,18.0,32.0,39.0,34.0,67.0,76.0,73.0,85.0,18.0,53.0,4
E0057,우정시장,35.55593536,129.3102522,187,83,270,15.0,29.0,36.0,29.0,63.0,73.0,71.0,82.0,15.0,49.75,4
E0058,우정2공영주차장,35.55549242,129.3149755,26,4,30,19.0,30.0,36.0,33.0,62.0,73.0,75.0,84.0,19.0,51.5,4
E0059,축산농협,35.55673077,129.3066793,109,62,171,18.0,31.0,38.0,29.0,67.0,77.0,70.0,81.0,18.0,51.375,4
E0060,강원마트,35.55632279,129.3139792,4,0,4,19.0,32.0,38.0,34.0,63.0,74.0,75.0,84.0,19.0,52.375,4
E0061,솔밭가든,35.58142182,129.3207443,82,10,92,34.0,46.0,52.0,40.0,81.0,89.0,82.0,93.0,34.0,64.625,2
E0062,성안청구아파트,35.57998767,129.3165143,349,28,377,33.0,45.0,51.0,40.0,78.0,87.0,81.0,92.0,33.0,63.375,3
E0063,백양초등학교,35.5764893,129.3173436,342,77,419,31.0,44.0,50.0,38.0,79.0,87.0,79.0,91.0,31.0,62.375,3
E0064,경찰청,35.57233827,129.3148189,322,55,377,29.0,42.0,48.0,38.0,75.0,85.0,80.0,90.0,29.0,60.875,3
E0065,백양사,35.5742986,129.3121451,97,23,120,32.0,44.0,51.0,38.0,79.0,88.0,78.0,90.0,32.0,62.5,3
E0066,국토정보공사,35.57535673,129.3088403,382,71,453,35.0,46.0,52.0,38.0,80.0,89.0,78.0,90.0,35.0,63.5,2
E0067,금호아파트,35.57534177,129.3051936,118,23,141,36.0,45.0,51.0,37.0,80.0,87.0,76.0,86.0,36.0,62.25,3
E0068,길촌입구,35.57267055,129.3011823,7,7,14,33.0,45.0,50.0,32.0,76.0,85.0,74.0,84.0,32.0,59.875,3
E0069,안전보건공단.동서발전,35.56597471,129.3205525,179,70,249,23.0,33.0,40.0,35.0,67.0,76.0,75.0,88.0,23.0,54.625,4
E0070,성안청구아파트입구,35.57998767,129.3165143,41,21,62,32.0,45.0,51.0,40.0,79.0,89.0,82.0,93.0,32.0,63.875,3
E0071,성안파출소,35.58063584,129.322982,10,8,18,37.0,50.0,56.0,45.0,84.0,93.0,87.0,98.0,37.0,68.75,2
E0072,성안종점,35.5625956,129.3190349,14,3,17,19.0,33.0,39.0,33.0,65.0,75.0,73.0,84.0,19.0,52.625,4
E0073,내약마을,35.5828822,129.3258493,6,1,7,46.0,56.0,61.0,54.0,88.0,98.0,95.0,107.0,46.0,75.625,0
E0074,약사동,35.5812245,129.3194324,0,2,2,36.0,49.0,55.0,44.0,82.0,92.0,84.0,96.0,36.0,67.25,2
E0075,함월구민운동장,35.57782005,129.3059518,34,2,36,41.0,50.0,57.0,44.0,84.0,92.0,83.0,95.0,41.0,68.25,2
E0076,성안금호아파트,35.5758149,129.3062525,109,9,118,36.0,48.0,54.0,37.0,80.0,89.0,78.0,88.0,36.0,63.75,2
E0077,G마트,35.57749876,129.3110363,43,5,48,38.0,51.0,57.0,44.0,84.0,94.0,84.0,96.0,38.0,68.5,2
E0078,신안골드빌,35.57917208,129.3128063,13,6,19,38.0,51.0,57.0,45.0,84.0,93.0,87.0,97.0,38.0,69.0,2
E0079,방송대후문,35.57936153,129.3143165,10,3,13,37.0,50.0,56.0,44.0,82.0,92.0,85.0,96.0,37.0,67.75,2
E0080,애니원고등학교,35.57823727,129.3204694,50,7,57,35.0,47.0,54.0,45.0,82.0,92.0,85.0,96.0,35.0,67.0,2
E0081,장애인종합복지관,35.57731119,129.3217602,89,10,99,36.0,50.0,56.0,46.0,82.0,91.0,87.0,98.0,36.0,68.25,1
E0082,시립요양원,35.57584933,129.3207277,44,4,48,34.0,46.0,52.0,43.0,80.0,89.0,84.0,96.0,34.0,65.5,2
E0083,편의점,35.57466018,129.3199077,22,4,26,34.0,47.0,54.0,44.0,80.0,89.0,84.0,93.0,34.0,65.625,2
E0084,라이온스,35.57368945,129.3184084,27,13,40,32.0,45.0,51.0,42.0,78.0,89.0,84.0,95.0,32.0,64.5,3
E0085,풍암마을,35.58965575,129.2912898,2,0,2,54.0,69.0,74.0,64.0,100.0,107.0,104.0,113.0,54.0,85.625,0
E0086,풍암마을입구,35.58965575,129.2912898,2,1,3,60.0,73.0,79.0,68.0,106.0,116.0,104.0,115.0,60.0,90.125,0
E0087,성동마을회관,35.58692144,129.3031742,2,0,2,54.0,68.0,74.0,60.0,100.0,109.0,99.0,111.0,54.0,84.375,0
E0088,돌담집,35.58320101,129.3062073,1,0,1,50.0,62.0,68.0,55.0,95.0,105.0,94.0,106.0,50.0,79.375,0
E0089,KCC인테리어,35.57938178,129.3233746,3,0,3,37.0,50.0,57.0,48.0,84.0,92.0,89.0,101.0,37.0,69.75,1
E0090,최제우유허지입구,35.56220892,129.2906568,76,16,92,31.0,44.0,49.0,30.0,77.0,86.0,69.0,81.0,30.0,58.375,3
E0091,동원로얄듀크2차,35.56215121,129.2935621,61,23,84,28.0,42.0,47.0,30.0,75.0,83.0,67.0,78.0,28.0,56.25,3
E0092,중부소방서,35.5631716,129.3006193,57,10,67,28.0,41.0,47.0,31.0,74.0,83.0,70.0,79.0,28.0,56.625,3
E0093,울산교육청,35.56243947,129.3037928,11,3,14,28.0,41.0,45.0,30.0,71.0,79.0,67.0,78.0,28.0,54.875,4
E0094,울산테크노파크,35.56272768,129.2805896,65,11,76,35.0,47.0,54.0,29.0,82.0,91.0,60.0,75.0,29.0,59.125,2
E0095,길촌마을내,35.57723819,129.2901405,1,0,1,50.0,62.0,69.0,53.0,95.0,104.0,92.0,104.0,50.0,78.625,0
