id,weighted_access_min,finite_origin_count,finite_origin_demand,name,employment_num,coord_confidence,time
gw,94.4171445213252,737,199154,GW,549.0,미검증,22:00
mobile_tech_valley,81.41952618504232,804,247565,모바일테크밸리,569.0,미검증,22:00
energy_convergence,90.00874823105622,124,7773,에너지융합,690.0,중,22:00
cheongyang,105.72130536010599,328,77741,청양,0.0,미검증,22:00
muggerbon,103.75408286403862,297,99440,머거본,0.0,미검증,22:00
doha,104.45200496806245,284,56360,울산도하일반산업단지,0.0,미검증,22:00
ktx_station_area,77.9922729581532,1031,250031,울산KT역세권일반산업단지,0.0,미검증,22:00
daedae,93.53497207063634,565,186363,대대일반산업단지,0.0,미검증,22:00
automotive_nammok,67.72617708849363,974,276551,자동차일반산업단지[구:남목],0.0,미검증,22:00
janghyeon,65.74557515255418,1078,289897,울산장현,,미검증,22:00
