idx,corridor,wbefore,wafter,saved_min,n_improved,demand_min_saved,top,secs
54,신천 → 홈플러스중구점 → 향교 → 시청,41.8,39.82,1.97,658,652618.0,신천(+31); 메아리학교(+30); 약수마을(+30),159.8
48,현대자동차2공장 → 시외고속버스터미널 → 시청,41.8,39.84,1.95,693,635134.0,현대자동차2공장(+26); 양정힐스테이트(+21); 신전(+16),164.3
96,극동스타클래스 → 농소중학교 → 구역전시장 → 우정선경아파트 → 시청,41.8,39.88,1.92,633,631264.0,극동스타클래스(+36); 농소중학교(+33); 엠코타운(+32),157.2
8,범서파출소 → 남운프라자 → 제일중학교 → 시청,41.8,39.9,1.9,678,635761.0,범서파출소(+25); 울주군국민체육센터(+21); 현대3차아파트(+20),167.7
1,현대자동차명촌정문 → 보람병원입구 → 남구보건소 → 시청,41.8,39.91,1.89,623,613586.0,현대자동차정문(+28); 현대자동차명촌정문(+28); 현대자동차(+26),165.8
4,농소공영차고지 → 옥교동 → 시청,41.8,39.97,1.84,611,618039.0,농소공영차고지(+29); 평해사입구(+29); 농소1동행정복지센터(+27),176.8
72,골드클래스 → 병영사거리 → 홈플러스중구점 → 시청,41.8,39.97,1.83,629,607528.0,골드클래스(+21); 동산(+18); 성혜마을(+18),161.8
34,아랫율동 → 농심메가마트 → 시청,41.81,40.0,1.81,668,591037.0,아랫율동(+22); 현대자동차2공장(+18); 양정힐스테이트(+18),159.4
49,꽃바위아파트 → 변전소 → 울산번개시장 → 시청,41.79,39.99,1.8,555,609116.0,꽃바위아파트(+42); 문현고등학교(+36); 꽃바위성당(+35),172.4
28,북구청남문 → 구역전시장 → 시청,41.8,40.03,1.77,657,601754.0,북구청남문(+24); 효문동행정복지센터(+21); 덕양산업(+20),161.4
83,삼일초등학교 → 중구청 → 울산MBC → 중앙전통시장 → 시청,41.8,40.03,1.77,658,585432.0,삼일초등학교(+23); 병영2동행정복지센터(+17); 서동현대아파트(+16),159.3
16,꽃바위아파트 → 남부초등학교 → 시청,41.81,40.05,1.76,546,590667.0,꽃바위아파트(+42); 문현고등학교(+36); 꽃바위성당(+35),164.4
75,범서파출소 → 다운아파트 → 좋은삼정병원 → 삼호교 → 시청,41.81,40.09,1.72,689,577354.0,범서파출소(+24); 울주군국민체육센터(+21); 현대3차아파트(+19),157.9
6,효정고등학교입구 → 농심메가마트 → 평창리비에르아파트 → 보람병원입구 → 시청,41.8,40.1,1.7,713,563659.0,효문입구(+18); 효정고등학교입구(+18); 평창리비에르아파트(+17),173.0
43,월드메르디앙2단지 → 신천 → 구역전시장 → 우정선경아파트 → 시청,41.8,40.12,1.68,638,575523.0,월드메르디앙2단지(+36); 신기회관(+34); 광장교회(+34),160.2
21,율리 → 울산대학교후문 → 문수경기장입구 → 성광여고 → 시청,41.81,40.15,1.66,641,561381.0,문수경기장입구(+26); 문수경기장(+25); 율리(+18),153.9
